word_0,hits_0,word_1,hits_1,word_2,hits_2,word_3,hits_3,word_4,hits_4
salet,BBBBB,crump,BBBBB,doing,BBGBB,whiff,GGGGG,     ,     
salet,BBBBB,crump,BBBBB,doing,BBGGB,whiny,GGGGG,     ,     
salet,BBBBB,crump,BBBBB,doing,BBGGG,vying,GGGGG,     ,     
salet,BBBBB,crump,BBBBB,doing,BBYBB,fizzy,GGGGG,     ,     
salet,BBBBB,crump,BBBBB,doing,BBYBB,fizzy,YGBBG,jiffy,GGGGG
salet,BBBBB,crump,BBBBB,doing,BBYGB,ninny,GGGGG,     ,     
salet,BBBBB,crump,BBBBB,doing,BBYYB,kinky,GGGGG,     ,     
salet,BBBBB,crump,BBBBB,doing,BGBBB,bobby,BGBBG,woozy,GGGGG
salet,BBBBB,crump,BBBBB,doing,BGBBB,bobby,BGGGG,hobby,GGGGG
salet,BBBBB,crump,BBBBB,doing,BGBBB,bobby,GGBBG,boozy,GGGGG
salet,BBBBB,crump,BBBBB,doing,BGBBB,bobby,GGBGG,booby,GGGGG
salet,BBBBB,crump,BBBBB,doing,BGBBB,bobby,GGGGG,     ,     
salet,BBBBB,crump,BBBBB,doing,BGBBY,foggy,GGGGG,     ,     
salet,BBBBB,crump,BBBBB,doing,BGBBY,foggy,YGYBG,goofy,GGGGG
salet,BBBBB,crump,BBBBB,doing,BGBYY,bongo,GGGGG,     ,     
salet,BBBBB,crump,BBBBB,doing,BGGGG,going,GGGGG,     ,     
salet,BBBBB,crump,BBBBB,doing,BYBYB,known,GGGGG,     ,     
salet,BBBBB,crump,BBBBB,doing,BYGGG,owing,GGGGG,     ,     
salet,BBBBB,crump,BBBBB,doing,BYGYB,onion,GGGGG,     ,     
salet,BBBBB,crump,BBBBB,doing,BYYYB,inbox,GGGGG,     ,     
salet,BBBBB,crump,BBBBB,doing,BYYYY,bingo,GGGGG,     ,     
salet,BBBBB,crump,BBBBB,doing,GBGGG,dying,GGGGG,     ,     
salet,BBBBB,crump,BBBBB,doing,GBYBB,dizzy,GGGGG,     ,     
salet,BBBBB,crump,BBBBB,doing,GBYYY,dingy,GGGGG,     ,     
salet,BBBBB,crump,BBBBB,doing,GGBBB,dowdy,GGGGG,     ,     
salet,BBBBB,crump,BBBBB,doing,GGBBY,dodgy,GGGGG,     ,     
salet,BBBBB,crump,BBBBB,doing,GGBGB,downy,GGGGG,     ,     
salet,BBBBB,crump,BBBBB,doing,GGGGG,     ,     ,     ,     
salet,BBBBB,crump,BBBBB,doing,GYYYY,dingo,GGGGG,     ,     
salet,BBBBB,crump,BBBBB,doing,YBYBB,biddy,BGYBB,vivid,GGGGG
salet,BBBBB,crump,BBBBB,doing,YBYBB,biddy,GGGGG,     ,     
salet,BBBBB,crump,BBBBB,doing,YBYBY,giddy,GGGGG,     ,     
salet,BBBBB,crump,BBBBB,doing,YBYYB,windy,GGGGG,     ,     
salet,BBBBB,crump,BBBBB,doing,YGBBB,howdy,BGYGG,woody,GGGGG
salet,BBBBB,crump,BBBBB,doing,YGBBB,howdy,GGGGG,     ,     
salet,BBBBB,crump,BBBBB,doing,YGBBY,goody,GGGGG,     ,     
salet,BBBBB,crump,BBBBB,doing,YYYBB,ovoid,GGGGG,     ,     
salet,BBBBB,crump,BBBBB,doing,YYYBB,ovoid,YBBYY,widow,GGGGG
salet,BBBBB,crump,BBBBG,whoop,GGGGG,     ,     ,     ,     
salet,BBBBB,crump,BBBBY,phony,GBBBG,piggy,GGGGG,     ,     
salet,BBBBB,crump,BBBBY,phony,GBBYG,pinky,GGGGG,     ,     
salet,BBBBB,crump,BBBBY,phony,GBYBG,poppy,GGGGG,     ,     
